TIMESTAMP,SEA,SLOT-A,RANK-A,SLOT-P,RANK-P
08/03/2015 00:00,WESTERN_MEDITERRANEAN_SEA,am, [ D1 ],pm, [ D1 ]
08/03/2015 00:00,EAST_MEDITERRANEAN_SEA,am, [ C20 D20 ],pm, [ C20 D20 ]
15/03/2015 00:00,WESTERN_MEDITERRANEAN_SEA,am, [ D1 C1 ],pm, [ D1 C1 ]
15/03/2015 00:00,EAST_MEDITERRANEAN_SEA,am, [ C20 D20 G33 ],pm, [ G33 B18 C20 ]
22/03/2015 00:00,WESTERN_MEDITERRANEAN_SEA,am, [ D1 ],pm, [ D1 ]
22/03/2015 00:00,EAST_MEDITERRANEAN_SEA,am, [ C20 D20 B19 ],pm, [ C20 G33 D19 ]
29/03/2015 00:00,EAST_MEDITERRANEAN_SEA,am, [ C20 E31 C30 ],pm, [ C20 E31 C30 ]
29/03/2015 00:00,WESTERN_MEDITERRANEAN_SEA,am, [ D1 D2 ],pm, [ D1 D2 ]
05/04/2015 00:00,EAST_MEDITERRANEAN_SEA,am, [ C20 D20 D19 ],pm, [ C20 D20 B20 ]
05/04/2015 00:00,WESTERN_MEDITERRANEAN_SEA,am, [ D1 D2 C1 ],pm, [ D1 D2 F12 ]
12/04/2015 00:00,EAST_MEDITERRANEAN_SEA,am, [ C20 D20 A28 ],pm, [ C20 D20 C19 ]
12/04/2015 00:00,WESTERN_MEDITERRANEAN_SEA,am, [ D1 F8 F9 ],pm, [ D1 F9 F8 ]
31/05/2015 00:00,EAST_MEDITERRANEAN_SEA,am, [ J23 F25 J27 ],pm, [ J23 F25 J27 ]
31/05/2015 00:00,WESTERN_MEDITERRANEAN_SEA,am, [ J1 H2 J5 ],pm, [ J1 H2 J5 ]
07/06/2015 00:00,EAST_MEDITERRANEAN_SEA,am, [ J35 E34 H33 ],pm, [ J35 E34 H33 ]
07/06/2015 00:00,WESTERN_MEDITERRANEAN_SEA,am, [ C7 A13 J12 ],pm, [ C7 A13 J12 ]
14/06/2015 00:00,EAST_MEDITERRANEAN_SEA,am, [ F20 K18 H20 ],pm, [ J41 F41 A39 ]
14/06/2015 00:00,WESTERN_MEDITERRANEAN_SEA,am, [ E14 H16 C16 ],pm, [ E14 H16 C16 ]
