TIMESTAMP,SEA,SLOT-A,RANK-A,SLOT-P,RANK-P
08/03/2015,WESTERN_MEDITERRANEAN_SEA,am, [ D1 ],pm, [ D1 ]
15/03/2015,WESTERN_MEDITERRANEAN_SEA,am, [ D1 C1 ],pm, [ D1 C1 ]
08/03/2015,EAST_MEDITERRANEAN_SEA,am, [ C20 D20 ],pm, [ C20 D20 ]
15/03/2015,EAST_MEDITERRANEAN_SEA,am, [ C20 D20 C19 ],pm, [ G33 B18 D20 ]
22/03/2015,WESTERN_MEDITERRANEAN_SEA,am, [ D1 ],pm, [ D1 ]
22/03/2015,EAST_MEDITERRANEAN_SEA,am, [ C20 D20 B19 ],pm, [ C20 G33 C19 ]
29/03/2015,EAST_MEDITERRANEAN_SEA,am, [ C20 C31 D31 ],pm, [ C20 A29 C31 ]
29/03/2015,WESTERN_MEDITERRANEAN_SEA,am, [ D1 D2 ],pm, [ D1 D2 ]
05/04/2015,WESTERN_MEDITERRANEAN_SEA,am, [ D1 D2 C1 ],pm, [ D1 D2 F12 ]
05/04/2015,EAST_MEDITERRANEAN_SEA,am, [ C20 D20 D19 ],pm, [ C20 D20 C19 ]
12/04/2015,EAST_MEDITERRANEAN_SEA,am, [ C20 D20 C19 ],pm, [ C20 D20 C19 ]
12/04/2015,WESTERN_MEDITERRANEAN_SEA,am, [ D1 F9 F8 ],pm, [ D1 F9 F8 ]
19/04/2015,EAST_MEDITERRANEAN_SEA,am, [ C20 D20 G33 ],pm, [ C20 G33 D20 ]
19/04/2015,WESTERN_MEDITERRANEAN_SEA,am, [ D1 F9 C1 ],pm, [ D1 F9 D2 ]
26/04/2015,WESTERN_MEDITERRANEAN_SEA,am, [ J14 F9 F8 ],pm, [ H8 J14 G8 ]
26/04/2015,EAST_MEDITERRANEAN_SEA,am, [ C20 G33 D20 ],pm, [ C20 D20 G33 ]
03/05/2015,EAST_MEDITERRANEAN_SEA,am, [ C20 G33 D20 ],pm, [ C20 G33 D20 ]
03/05/2015,WESTERN_MEDITERRANEAN_SEA,am, [ F9 F8 H8 ],pm, [ H8 F8 G8 ]
10/05/2015,WESTERN_MEDITERRANEAN_SEA,am, [ F9 F8 H8 ],pm, [ H8 F6 F7 ]
10/05/2015,EAST_MEDITERRANEAN_SEA,am, [ G33 C20 D20 ],pm, [ G33 C20 D20 ]
17/05/2015,WESTERN_MEDITERRANEAN_SEA,am, [ F8 F9 G8 ],pm, [ H8 F8 G8 ]
17/05/2015,EAST_MEDITERRANEAN_SEA,am, [ C20 G33 D20 ],pm, [ C20 A34 G33 ]
